Date,PriceUSD,OpenUSD,HighUSD,LowUSD,VolumeUSD,Change
"Jun 12, 2020",0.035,0.030,0.035,0.025,18.84,16.67
"Jun 11, 2020",0.030,0.030,0.035,0.030,77.77,0.00
"Jun 10, 2020",0.030,0.030,0.035,0.030,3.20,0.00
"Jun 09, 2020",0.030,0.035,0.035,0.030,4.55,0.00
"Jun 05, 2020",0.030,0.030,0.035,0.030,8.68,-14.29
"Jun 04, 2020",0.035,0.030,0.035,0.030,2.57,16.67
"Jun 03, 2020",0.030,0.035,0.035,0.030,4.03,0.00
"Jun 02, 2020",0.030,0.030,0.035,0.030,8.76,0.00
"Jun 01, 2020",0.030,0.030,0.035,0.030,17.53,0.00
"May 29, 2020",0.030,0.030,0.035,0.030,11.66,-14.29
"May 28, 2020",0.035,0.035,0.035,0.030,1.79,0.00
"May 27, 2020",0.035,0.030,0.035,0.030,12.34,16.67
"May 22, 2020",0.030,0.035,0.035,0.025,65.27,-14.29
"May 21, 2020",0.035,0.035,0.035,0.030,5.35,0.00
"May 20, 2020",0.035,0.035,0.035,0.030,3.02,0.00
"May 19, 2020",0.035,0.040,0.040,0.030,101.31,0.00
"May 18, 2020",0.035,0.035,0.040,0.030,127.14,0.00
"May 15, 2020",0.035,0.030,0.035,0.025,158.42,40.00
"May 14, 2020",0.025,0.020,0.030,0.020,57.06,25.00
