price,bathrooms,sqft_living,floors,grade,sqft_above,sqft_basement,yr_built,zipcode,long,sqft_living15
221900.0,1.0,1180,1.0,7,1180,0,1955,98178,-122.257,1340
538000.0,2.25,2570,2.0,7,2170,400,1951,98125,-122.319,1690
180000.0,1.0,770,1.0,6,770,0,1933,98028,-122.23299999999999,2720
604000.0,3.0,1960,1.0,7,1050,910,1965,98136,-122.39299999999999,1360
510000.0,2.0,1680,1.0,8,1680,0,1987,98074,-122.045,1800
1225000.0,4.5,5420,1.0,11,3890,1530,2001,98053,-122.005,4760
257500.0,2.25,1715,2.0,7,1715,0,1995,98003,-122.32700000000001,2238
291850.0,1.5,1060,1.0,7,1060,0,1963,98198,-122.315,1650
229500.0,1.0,1780,1.0,7,1050,730,1960,98146,-122.337,1780
323000.0,2.5,1890,2.0,7,1890,0,2003,98038,-122.031,2390
662500.0,2.5,3560,1.0,8,1860,1700,1965,98007,-122.145,2210
468000.0,1.0,1160,1.0,7,860,300,1942,98115,-122.292,1330
310000.0,1.0,1430,1.5,7,1430,0,1927,98028,-122.229,1780
400000.0,1.75,1370,1.0,7,1370,0,1977,98074,-122.045,1370
530000.0,2.0,1810,1.5,7,1810,0,1900,98107,-122.39399999999999,1360
650000.0,3.0,2950,2.0,9,1980,970,1979,98126,-122.375,2140
395000.0,2.0,1890,2.0,7,1890,0,1994,98019,-121.962,1890
485000.0,1.0,1600,1.5,7,1600,0,1916,98103,-122.34299999999999,1610
189000.0,1.0,1200,1.0,7,1200,0,1921,98002,-122.21,1060
230000.0,1.0,1250,1.0,7,1250,0,1969,98003,-122.306,1280
385000.0,1.75,1620,1.0,7,860,760,1947,98133,-122.34100000000001,1400
2000000.0,2.75,3050,1.0,9,2330,720,1968,98040,-122.23299999999999,4110
285000.0,2.5,2270,2.0,8,2270,0,1995,98092,-122.169,2240
252700.0,1.5,1070,1.0,7,1070,0,1985,98030,-122.166,1220
329000.0,2.25,2450,2.0,8,2450,0,1985,98030,-122.17200000000001,2200
233000.0,2.0,1710,1.5,6,1710,0,1941,98002,-122.21799999999999,1030
937000.0,1.75,2450,2.0,8,1750,700,1915,98119,-122.36,1760
667000.0,1.0,1400,1.5,8,1400,0,1909,98112,-122.314,1860
438000.0,1.75,1520,1.0,7,790,730,1948,98115,-122.304,1520
719000.0,2.5,2570,2.0,8,2570,0,2005,98052,-122.11,2630
580500.0,2.5,2320,2.0,8,2320,0,2003,98027,-122.07,2580
280000.0,1.5,1190,3.0,7,1190,0,2005,98133,-122.35700000000001,1390
687500.0,1.75,2330,1.5,7,1510,820,1929,98117,-122.368,1460
535000.0,1.0,1090,1.5,8,1090,0,1929,98117,-122.375,1570
322500.0,2.75,2060,1.0,7,1280,780,1981,98058,-122.15700000000001,2020
696000.0,2.5,2300,1.5,8,1510,790,1930,98115,-122.31,1590
550000.0,1.0,1660,1.0,5,930,730,1933,98052,-122.132,2160
640000.0,2.0,2360,2.0,8,2360,0,1904,98107,-122.36200000000001,1730
240000.0,1.0,1220,1.0,7,890,330,1969,98001,-122.28200000000001,1290
605000.0,2.5,2620,2.0,8,2620,0,1996,98056,-122.18,2620
625000.0,2.5,2570,2.0,9,2570,0,2000,98074,-122.027,2470
775000.0,2.25,4220,1.0,8,2600,1620,1984,98166,-122.34700000000001,2410
861990.0,2.75,3595,2.0,9,3595,0,2014,98053,-122.016,3625
685000.0,1.0,1570,2.0,7,1570,0,1922,98119,-122.36399999999999,1580
309000.0,1.0,1280,1.0,6,920,360,1959,98058,-122.175,1340
488000.0,2.5,3160,2.0,8,3160,0,2003,98019,-121.977,3050
210490.0,1.0,990,1.0,6,990,0,1966,98023,-122.37100000000001,1228
785000.0,2.5,2290,2.0,9,2290,0,1981,98007,-122.15100000000001,2680
450000.0,1.75,1250,1.0,7,1250,0,1953,98115,-122.301,970
1350000.0,2.5,2753,1.0,9,2165,588,1953,98070,-122.45100000000001,2680
228000.0,1.0,1190,1.0,7,1190,0,1955,98148,-122.322,1190
345000.0,2.5,3150,1.0,8,1640,1510,1966,98056,-122.189,1990
600000.0,1.75,1410,1.0,7,1000,410,1950,98117,-122.384,1410
585000.0,1.75,1980,1.0,7,990,990,1981,98117,-122.369,1480
920000.0,2.25,2730,1.5,8,2130,600,1927,98105,-122.281,2730
885000.0,2.5,2830,2.0,9,2830,0,1995,98105,-122.29,1950
