,price,bathrooms,sqft_living,floors,grade,sqft_above,sqft_basement,yr_built,zipcode,long,sqft_living15
0,221900.0,,1180.0,1.0,7.0,1180.0,0.0,1955.0,,-122.257,1340.0
1,538000.0,2.25,2570.0,2.0,7.0,2170.0,400.0,1951.0,98125.0,-122.319,
2,180000.0,1.0,770.0,1.0,6.0,770.0,0.0,1933.0,98028.0,-122.23299999999999,2720.0
3,604000.0,3.0,1960.0,1.0,7.0,1050.0,910.0,1965.0,98136.0,-122.39299999999999,
4,510000.0,2.0,1680.0,1.0,8.0,1680.0,0.0,,98074.0,-122.045,1800.0
5,,4.5,5420.0,1.0,11.0,3890.0,1530.0,2001.0,98053.0,-122.005,4760.0
6,257500.0,2.25,1715.0,2.0,7.0,1715.0,0.0,1995.0,98003.0,-122.32700000000001,2238.0
7,291850.0,1.5,1060.0,1.0,7.0,1060.0,0.0,1963.0,,-122.315,1650.0
8,,1.0,1780.0,1.0,7.0,1050.0,730.0,1960.0,98146.0,-122.337,1780.0
9,323000.0,2.5,1890.0,2.0,7.0,1890.0,,2003.0,98038.0,-122.031,2390.0
10,,2.5,3560.0,1.0,8.0,1860.0,1700.0,1965.0,98007.0,-122.145,
11,468000.0,1.0,1160.0,1.0,,860.0,300.0,1942.0,98115.0,-122.292,1330.0
12,310000.0,1.0,1430.0,1.5,7.0,1430.0,0.0,1927.0,98028.0,-122.229,
13,400000.0,1.75,1370.0,,,1370.0,0.0,1977.0,98074.0,-122.045,1370.0
14,530000.0,2.0,1810.0,1.5,7.0,1810.0,0.0,,98107.0,-122.39399999999999,1360.0
15,650000.0,3.0,2950.0,2.0,9.0,1980.0,970.0,1979.0,,,2140.0
16,395000.0,2.0,1890.0,2.0,7.0,,0.0,1994.0,98019.0,-121.962,1890.0
17,485000.0,1.0,1600.0,1.5,7.0,1600.0,0.0,1916.0,98103.0,-122.34299999999999,1610.0
18,189000.0,1.0,,1.0,7.0,1200.0,0.0,1921.0,98002.0,-122.21,1060.0
19,,1.0,1250.0,1.0,7.0,1250.0,0.0,1969.0,98003.0,-122.306,1280.0
20,,1.75,1620.0,1.0,7.0,860.0,760.0,1947.0,98133.0,-122.34100000000001,
21,2000000.0,2.75,3050.0,1.0,9.0,2330.0,720.0,1968.0,98040.0,-122.23299999999999,
22,285000.0,2.5,2270.0,2.0,8.0,2270.0,0.0,1995.0,98092.0,-122.169,2240.0
23,252700.0,1.5,1070.0,1.0,7.0,1070.0,0.0,1985.0,98030.0,-122.166,
24,329000.0,2.25,2450.0,2.0,8.0,2450.0,0.0,1985.0,,,2200.0
25,233000.0,2.0,1710.0,1.5,6.0,1710.0,0.0,1941.0,98002.0,-122.21799999999999,1030.0
26,937000.0,1.75,2450.0,2.0,8.0,1750.0,700.0,1915.0,98119.0,,1760.0
27,,1.0,,1.5,8.0,1400.0,0.0,1909.0,98112.0,-122.314,1860.0
28,,1.75,1520.0,1.0,7.0,790.0,730.0,1948.0,98115.0,-122.304,1520.0
29,719000.0,2.5,2570.0,2.0,8.0,2570.0,0.0,2005.0,98052.0,-122.11,2630.0
30,580500.0,2.5,2320.0,2.0,8.0,2320.0,0.0,2003.0,98027.0,-122.07,2580.0
31,280000.0,1.5,1190.0,3.0,,1190.0,0.0,2005.0,98133.0,-122.35700000000001,1390.0
32,687500.0,1.75,2330.0,1.5,7.0,1510.0,820.0,1929.0,98117.0,-122.368,1460.0
33,535000.0,1.0,1090.0,,8.0,1090.0,0.0,,98117.0,-122.375,1570.0
34,322500.0,2.75,2060.0,1.0,7.0,,780.0,1981.0,,-122.15700000000001,2020.0
35,696000.0,2.5,2300.0,1.5,8.0,1510.0,790.0,1930.0,98115.0,-122.31,1590.0
36,550000.0,1.0,1660.0,1.0,5.0,930.0,730.0,1933.0,98052.0,-122.132,2160.0
37,640000.0,2.0,2360.0,2.0,8.0,2360.0,0.0,1904.0,98107.0,-122.36200000000001,1730.0
38,240000.0,1.0,1220.0,1.0,7.0,890.0,330.0,,98001.0,-122.28200000000001,
39,605000.0,2.5,2620.0,2.0,,2620.0,0.0,1996.0,98056.0,-122.18,2620.0
40,625000.0,2.5,2570.0,2.0,9.0,2570.0,,2000.0,,-122.027,2470.0
41,775000.0,,4220.0,1.0,8.0,2600.0,,1984.0,98166.0,-122.34700000000001,2410.0
42,861990.0,2.75,3595.0,2.0,9.0,3595.0,0.0,2014.0,98053.0,-122.016,3625.0
43,685000.0,1.0,1570.0,2.0,7.0,1570.0,0.0,1922.0,98119.0,-122.36399999999999,1580.0
44,,,1280.0,1.0,6.0,920.0,360.0,,98058.0,-122.175,1340.0
45,488000.0,2.5,3160.0,,8.0,3160.0,0.0,2003.0,98019.0,-121.977,3050.0
46,210490.0,1.0,990.0,1.0,6.0,990.0,0.0,1966.0,98023.0,-122.37100000000001,1228.0
47,785000.0,2.5,2290.0,2.0,9.0,2290.0,0.0,,,-122.15100000000001,2680.0
48,,1.75,1250.0,1.0,7.0,1250.0,0.0,1953.0,98115.0,,970.0
49,1350000.0,2.5,2753.0,1.0,9.0,2165.0,588.0,1953.0,98070.0,-122.45100000000001,2680.0
50,228000.0,1.0,,1.0,7.0,1190.0,,1955.0,98148.0,-122.322,1190.0
51,,2.5,3150.0,1.0,8.0,,,1966.0,98056.0,-122.189,1990.0
52,600000.0,1.75,1410.0,1.0,7.0,,410.0,1950.0,98117.0,,
53,585000.0,,1980.0,1.0,7.0,990.0,990.0,1981.0,98117.0,-122.369,1480.0
54,920000.0,2.25,2730.0,1.5,8.0,,600.0,1927.0,98105.0,-122.281,2730.0
55,885000.0,2.5,,2.0,9.0,2830.0,0.0,,98105.0,-122.29,1950.0
56,292500.0,2.5,2250.0,2.0,7.0,2250.0,0.0,2008.0,98042.0,-122.11399999999999,2250.0
57,301000.0,2.5,2420.0,2.0,8.0,2420.0,0.0,2003.0,98042.0,-122.12200000000001,2690.0
58,951000.0,3.25,3250.0,2.0,8.0,3250.0,0.0,1968.0,98008.0,-122.116,2960.0
59,430000.0,,1850.0,2.0,8.0,1850.0,0.0,,,,2270.0
60,650000.0,2.25,2150.0,1.0,8.0,1590.0,560.0,1959.0,98166.0,-122.339,2570.0
61,289000.0,1.75,1260.0,1.0,7.0,1260.0,0.0,1954.0,98148.0,-122.335,
62,505000.0,1.75,2519.0,2.0,8.0,2519.0,0.0,1973.0,,-122.344,2500.0
63,549000.0,,1540.0,3.0,8.0,1540.0,0.0,2014.0,98115.0,-122.32,1580.0
64,425000.0,2.25,,1.0,7.0,,550.0,1979.0,98122.0,-122.29700000000001,1440.0
65,317625.0,2.75,2770.0,1.5,7.0,1770.0,,1925.0,98144.0,-122.304,1440.0
66,,2.5,,2.0,10.0,2720.0,0.0,1989.0,98004.0,-122.19200000000001,2750.0
67,287000.0,2.5,2240.0,2.0,7.0,,,2005.0,98001.0,-122.257,2221.0
68,204000.0,1.0,1000.0,1.0,7.0,1000.0,0.0,,98042.0,-122.11,1010.0
69,1325000.0,2.25,3200.0,1.0,8.0,1600.0,1600.0,,,-122.215,3390.0
70,,,,1.0,,3070.0,1700.0,1973.0,98005.0,-122.16,3530.0
71,325000.0,2.0,1260.0,1.0,7.0,,0.0,1972.0,98034.0,-122.179,1640.0
72,571000.0,2.0,2750.0,1.5,7.0,2250.0,500.0,1916.0,98125.0,,1510.0
73,360000.0,2.5,2380.0,2.0,8.0,2380.0,0.0,2005.0,98038.0,-122.036,2420.0
74,349000.0,1.75,1790.0,1.0,7.0,1090.0,700.0,1965.0,98042.0,,1940.0
75,832500.0,4.0,,2.0,10.0,,1040.0,1986.0,98075.0,-121.98700000000001,3240.0
76,380000.0,1.75,1760.0,1.0,7.0,880.0,,1956.0,,-122.125,1680.0
77,480000.0,1.0,1040.0,1.0,7.0,1040.0,0.0,1941.0,,-122.39399999999999,890.0
78,410000.0,1.0,1410.0,1.0,7.0,910.0,500.0,1956.0,98133.0,-122.34,1130.0
79,720000.0,2.5,3450.0,2.0,10.0,3450.0,0.0,2002.0,98010.0,-122.025,3350.0
80,390000.0,2.5,2350.0,2.0,8.0,2350.0,0.0,,98038.0,-122.008,2350.0
81,360000.0,2.5,,2.0,7.0,1900.0,,1992.0,98038.0,,1870.0
82,355000.0,1.0,,1.0,7.0,1010.0,1010.0,1948.0,98118.0,-122.291,1720.0
83,,1.5,,1.0,8.0,1680.0,0.0,1964.0,98059.0,-122.149,1850.0
84,315000.0,1.0,960.0,1.0,6.0,960.0,0.0,,98125.0,-122.31,1570.0
85,940000.0,1.5,2140.0,2.0,9.0,1900.0,240.0,1925.0,98119.0,-122.365,2020.0
86,305000.0,2.25,2660.0,1.5,7.0,2660.0,0.0,1961.0,98092.0,-122.189,1590.0
87,461000.0,3.25,2770.0,,9.0,1980.0,790.0,2006.0,98056.0,-122.199,
88,215000.0,2.25,1610.0,2.0,7.0,1610.0,0.0,1979.0,98056.0,,1950.0
89,,1.75,1030.0,2.0,7.0,765.0,265.0,2006.0,98136.0,-122.387,1030.0
90,243500.0,2.5,1980.0,2.0,7.0,1980.0,0.0,1988.0,98023.0,-122.37200000000001,1980.0
91,,2.75,3520.0,2.0,10.0,3520.0,0.0,2001.0,98199.0,-122.391,2520.0
92,,1.0,1200.0,1.0,7.0,1200.0,0.0,,98023.0,,1350.0
93,430000.0,1.5,1580.0,1.0,8.0,,290.0,1939.0,98117.0,-122.38600000000001,1570.0
94,700000.0,1.5,1580.0,1.0,8.0,1290.0,290.0,1939.0,98117.0,-122.38600000000001,1570.0
95,905000.0,2.5,3300.0,1.0,7.0,2390.0,910.0,1946.0,98040.0,-122.249,1950.0
96,247500.0,1.75,,1.0,7.0,1960.0,0.0,1967.0,98032.0,-122.277,1750.0
97,199000.0,1.5,1160.0,1.0,7.0,1160.0,0.0,1975.0,98023.0,-122.37799999999999,1160.0
98,314000.0,1.75,1810.0,1.0,7.0,1210.0,600.0,1980.0,98038.0,-121.958,1650.0
99,437500.0,2.5,2320.0,2.0,,2320.0,0.0,,98045.0,,2550.0
100,850830.0,,2070.0,1.5,9.0,1270.0,800.0,1910.0,98102.0,-122.315,
101,555000.0,,1980.0,,7.0,1440.0,540.0,1929.0,98117.0,-122.37200000000001,1610.0
102,699950.0,2.25,2190.0,2.0,,,0.0,1983.0,98077.0,-122.08,2570.0
