"Date","Price","Open","High","Low","Change %"
"Mar 20","4.3505","4.2125","4.3505","4.1595","3.25%"
"Feb 20","4.2135","4.0975","4.2435","4.0965","2.87%"
"Jan 20","4.0960","4.0890","4.1120","4.0510","0.13%"
"Dec 19","4.0905","4.1775","4.1815","4.0895","-2.06%"
"Nov 19","4.1765","4.1765","4.1865","4.1215","-0.05%"
"Oct 19","4.1785","4.1880","4.1980","4.1730","-0.20%"
"Sep 19","4.1870","4.2120","4.2265","4.1620","-0.44%"
"Aug 19","4.2055","4.1375","4.2295","4.1355","1.91%"
"Jul 19","4.1265","4.1315","4.1455","4.1035","-0.15%"
"Jun 19","4.1325","4.1925","4.1925","4.1315","-1.38%"
"May 19","4.1905","4.1315","4.2015","4.1305","1.35%"
"Apr 19","4.1345","4.0835","4.1475","4.0725","1.27%"
"Mar 19","4.0825","4.0725","4.0975","4.0555","0.39%"
"Feb 19","4.0665","4.0855","4.1065","4.0605","-0.72%"
"Jan 19","4.0960","4.1320","4.1490","4.0860","-0.88%"
"Dec 18","4.1325","4.1865","4.1905","4.1325","-1.24%"
"Nov 18","4.1845","4.1845","4.2025","4.1555","0.00%"
"Oct 18","4.1845","4.1365","4.1845","4.1305","1.11%"
"Sep 18","4.1385","4.1165","4.1525","4.1165","0.71%"
"Aug 18","4.1095","4.0615","4.1115","4.0615","1.09%"
"Jul 18","4.0650","4.0430","4.0720","4.0080","0.63%"
"Jun 18","4.0395","3.9785","4.0465","3.9670","1.49%"
"May 18","3.9800","3.9240","3.9950","3.9220","1.49%"
"Apr 18","3.9215","3.8655","3.9235","3.8525","1.50%"
"Mar 18","3.8635","3.9195","3.9315","3.8565","-1.37%"
"Feb 18","3.9170","3.8820","3.9440","3.8820","0.41%"
"Jan 18","3.9010","4.0435","4.0465","3.8645","-3.61%"
"Dec 17","4.0470","4.0900","4.0920","4.0470","-1.04%"
"Nov 17","4.0895","4.2340","4.2440","4.0820","-3.37%"
"Oct 17","4.2320","4.2165","4.2430","4.2085","0.27%"
"Sep 17","4.2205","4.2685","4.2685","4.1815","-1.17%"
"Aug 17","4.2705","4.2780","4.2990","4.2640","-0.26%"
"Jul 17","4.2815","4.2915","4.3000","4.2725","-0.26%"
"Jun 17","4.2925","4.2805","4.3015","4.2495","0.27%"
"May 17","4.2810","4.3370","4.3530","4.2680","-1.38%"
"Apr 17","4.3410","4.4250","4.4410","4.3370","-1.91%"
"Mar 17","4.4255","4.4425","4.4605","4.4065","-0.33%"
"Feb 17","4.4400","4.4320","4.4600","4.4200","0.24%"
"Jan 17","4.4295","4.4815","4.4995","4.4215","-1.26%"
"Dec 16","4.4860","4.4615","4.4860","4.4205","0.45%"
