MonthYear,Price(USD),Open(USD),High(USD),Low(USD),Volume(USD),Change %
Mar 20,1502.50,1587.05,1703.90,1451.00,1720.0,-4.1
Feb 20,1566.70,1597.80,1691.70,1551.10,7430.0,-1.34
Jan 20,1587.90,1527.50,1619.60,1526.00,2150.0,4.5
Dec 19,1519.50,1462.80,1523.40,1453.30,12300.0,3.68
Nov 19,1465.60,1511.00,1511.60,1447.10,97340.0,-3.03
Oct 19,1511.40,1468.70,1518.20,1458.30,4810.0,3.12
Sep 19,1465.70,1522.90,1553.20,1463.50,9500.0,-3.52
Aug 19,1519.10,1411.30,1549.30,1400.90,14450.0,6.52
Jul 19,1426.10,1386.60,1444.20,1382.80,77780.0,1.16
Jun 19,1409.70,1307.00,1433.30,1307.00,5270.0,7.96
May 19,1305.80,1278.70,1306.40,1266.60,58750.0,1.79
Apr 19,1282.80,1291.80,1307.10,1266.00,6160.0,-0.79
Mar 19,1293.00,1312.20,1322.90,1281.00,89440.0,-1.51
Feb 19,1312.80,1320.30,1344.00,1301.60,7230.0,-0.52
Jan 19,1319.70,1286.00,1325.40,1275.30,57390.0,3.24
Dec 18,1278.30,1222.50,1281.30,1221.30,3920.0,4.76
Nov 18,1220.20,1215.40,1233.80,1196.30,57640.0,0.65
Oct 18,1212.30,1191.60,1238.60,1183.70,3910.0,1.75
Sep 18,1191.50,1199.30,1205.00,1180.00,5550.0,-0.73
Aug 18,1200.30,1222.90,1223.70,1161.40,5210.0,-1.91
Jul 18,1223.70,1249.90,1262.30,1211.70,65290.00000000001,-2.21
Jun 18,1251.30,1298.60,1307.70,1244.80,4019.9999999999995,-3.75
May 18,1300.10,1313.20,1319.90,1285.20,55560.0,-1.22
Apr 18,1316.20,1327.00,1365.40,1309.60,5560.0,-0.5
Mar 18,1322.80,1310.40,1352.20,1301.80,65420.0,0.55
Feb 18,1315.50,1343.80,1361.40,1307.00,9630.0,-1.76
Jan 18,1339.00,1302.30,1357.20,1302.30,57790.0,2.5
Dec 17,1306.30,1274.10,1305.00,1236.50,7210.0,2.6
Nov 17,1273.20,1272.20,1296.20,1265.30,50770.0,0.49
Oct 17,1267.00,1275.00,1303.80,1260.50,3100.0,-1.13
Sep 17,1281.50,1320.20,1355.80,1277.00,7080.0,-2.64
Aug 17,1316.20,1268.40,1323.80,1251.40,8350.0,3.92
Jul 17,1266.60,1236.00,1270.80,1208.70,72320.0,2.09
Jun 17,1240.70,1268.00,1295.20,1238.10,8590.0,-2.46
May 17,1272.00,1268.70,1273.20,1214.00,133260.0,0.47
Apr 17,1266.10,1247.50,1294.80,1243.00,8010.0,1.51
Mar 17,1247.30,1247.80,1257.70,1196.20,60390.0,-0.42
Feb 17,1252.60,1211.90,1263.10,1197.90,9920.0,3.64
Jan 17,1208.60,1155.20,1219.00,1146.50,55320.0,5.1
Dec 16,1150.00,1172.70,1186.70,1123.90,8610.0,-1.78
Nov 16,1170.80,1279.30,1318.60,1167.90,52710.0,-7.92
Oct 16,1271.50,1313.50,1316.80,1249.50,5500.0,-3.18
Sep 16,1313.30,1305.30,1350.50,1301.50,8180.0,0.49
Aug 16,1306.90,1348.80,1366.00,1306.30,11450.0,-3.12
Jul 16,1349.00,1324.50,1374.90,1312.80,66270.0,2.32
Jun 16,1318.40,1215.70,1355.60,1205.40,12330.0,8.53
May 16,1214.80,1292.10,1304.40,1199.00,72110.0,-5.77
Apr 16,1289.20,1232.30,1295.50,1209.20,9440.0,4.46
Mar 16,1234.20,1240.50,1280.70,1210.00,55060.0,0.02
Feb 16,1233.90,1116.70,1260.80,1115.30,12630.0,10.52
Jan 16,1116.40,1063.40,1125.70,1063.20,60860.0,5.29
Dec 15,1060.30,1064.60,1098.80,1046.20,9970.0,-0.52
Nov 15,1065.80,1137.90,1138.70,1051.10,57850.0,-6.63
Oct 15,1141.50,1115.20,1189.00,1105.80,4190.0,2.33
Sep 15,1115.50,1133.50,1155.90,1098.20,4780.0,-1.42
Aug 15,1131.60,1095.50,1169.00,1080.50,12820.0,3.35
Jul 15,1094.90,1173.10,1173.10,1078.60,57760.0,-6.54
Jun 15,1171.50,1190.60,1204.00,1163.30,5980.0,-1.5
May 15,1189.40,1178.10,1228.10,1170.00,57930.0,0.59
Apr 15,1182.40,1182.90,1224.20,1174.60,7450.0,-0.06
Mar 15,1183.10,1214.30,1222.70,1144.30,42950.0,-2.43
Feb 15,1212.60,1284.10,1284.70,1191.60,7750.0,-5.15
Jan 15,1278.50,1184.00,1303.50,1169.50,78260.0,7.99
Dec 14,1183.90,1160.00,1238.00,1141.70,11020.0,0.74
Nov 14,1175.20,1166.40,1202.40,1132.90,88660.0,0.35
Oct 14,1171.10,1207.70,1247.00,1161.40,3880.0,-3.25
Sep 14,1210.50,1284.50,1286.40,1204.00,8210.0,-5.86
Aug 14,1285.80,1284.10,1322.10,1272.00,8890.0,0.35
Jul 14,1281.30,1326.70,1343.70,1280.60,43100.0,-3.06
Jun 14,1321.80,1250.00,1328.70,1240.50,10000.0,6.12
May 14,1245.60,1288.70,1314.20,1241.80,42320.0,-3.86
Apr 14,1295.60,1285.10,1330.00,1272.40,7940.0,0.95
Mar 14,1283.40,1335.90,1391.40,1282.40,70780.0,-2.88
Feb 14,1321.40,1242.40,1344.00,1241.20,11520.0,6.56
Jan 14,1240.10,1204.30,1269.40,1204.30,52670.0,3.18
Dec 13,1201.90,1251.40,1267.00,1182.00,14560.0,-3.89
Nov 13,1250.60,1325.70,1325.70,1229.00,92250.0,-5.52
Oct 13,1323.60,1328.00,1359.70,1254.10,2560.0,-0.22
Sep 13,1326.50,1393.00,1414.40,1292.10,4590.0,-4.99
Aug 13,1396.10,1323.00,1428.00,1274.00,10140.0,6.38
Jul 13,1312.40,1234.70,1345.10,1208.90,51810.0,7.24
